index,paragraph
2,"Tesla, Inc. (/ˈtɛslə/ TESS-lə or /ˈtɛzlə/ TEZ-lə[a]) is an American multinational automotive and clean energy company headquartered in Austin, Texas, which designs, manufactures and sells electric vehicles, stationary battery energy storage devices from home to grid-scale, solar panels and solar shingles, and related products and services."
3,"Tesla was incorporated in July 2003 by Martin Eberhard and Marc Tarpenning as Tesla Motors. The company's name is a tribute to inventor and electrical engineer Nikola Tesla. In February 2004 Elon Musk joined as the company's largest shareholder and in 2008 he was named CEO. In 2008, the company began production of its first car model, the Roadster sports car, followed by the Model S sedan in 2012, the Model X SUV in 2015, the Model 3 sedan in 2017, the Model Y crossover in 2020, the Tesla Semi truck in 2022 and the Cybertruck pickup truck in 2023. The Model 3 is the all-time bestselling plug-in electric car worldwide, and in June 2021 became the first electric car to sell 1 million units globally.[5] In 2023, the Model Y was the best-selling vehicle, of any kind, globally.[2]"
4,"Tesla is one of the world's most valuable companies. In October 2021, Tesla's market capitalization temporarily reached $1 trillion, the sixth company to do so in U.S. history. As of 2023[update], it is the world's most valuable automaker. In 2022, the company led the battery electric vehicle market, with 18% share."
5,"Tesla has been the subject of lawsuits, government scrutiny, and journalistic criticism, stemming from allegations of whistleblower retaliation, worker rights violations, product defects, and Musk's many controversial statements."
6,"The company was incorporated as Tesla Motors, Inc. on July 1, 2003, by Martin Eberhard and Marc Tarpenning.[6][7] They served as CEO and CFO, respectively.[8] Eberhard said that he wanted to build ""a car manufacturer that is also a technology company"", with its core technologies as ""the battery, the computer software, and the proprietary motor"".[9]"
7,"Ian Wright was Tesla's third employee, joining a few months later.[6] In February 2004, the company raised US$7.5 million (equivalent to $12 million in 2022) in series A funding, including $6.5 million (equivalent to $10 million in 2022) from Elon Musk, who had received $100 million from the sale of his interest in PayPal two years earlier. Musk became the chairman of the board of directors and the largest shareholder of Tesla.[10][11][8] J. B. Straubel joined Tesla in May 2004 as chief technical officer.[12]"
8,"A lawsuit settlement agreed to by Eberhard and Tesla in September 2009 allows all five – Eberhard, Tarpenning, Wright, Musk, and Straubel – to call themselves co-founders.[13]"
9,"Elon Musk took an active role within the company, but was not deeply involved in day-to-day business operations.[14] The company's strategy was to start with a premium sports car aimed at early adopters and then move into more mainstream vehicles, including sedans and affordable compacts.[15]"
10,"In February 2006, Musk led Tesla's Series B venture capital funding round of $13 million, which added Valor Equity Partners to the funding team.[16][11] Musk co-led the third, $40 million round in May 2006 which saw investment from prominent entrepreneurs including Google co-founders Sergey Brin and Larry Page, and former eBay President Jeff Skoll.[17] A fourth round worth $45 million in May 2007 brought the total private financing investment to over $105 million.[17]"
11,"In August 2007, Eberhard was asked by the board, led by Elon Musk, to step down as CEO.[18] Eberhard then took the title of ""President of Technology"" before ultimately leaving the company in January 2008. Co-founder Marc Tarpenning, who served as the Vice President of Electrical Engineering of the company, also left the company in January 2008.[19] In August 2007, Michael Marks was brought in as interim CEO, and in December 2007, Ze'ev Drori became CEO and President.[20] Musk succeeded Drori as CEO in October 2008.[20] In June 2009, Eberhard filed a lawsuit against Musk for allegedly forcing him out.[21][needs update]"
12,"Tesla began production of the Roadster in 2008 inside the service bays of a former Chevrolet dealership in Menlo Park.[22][23] By January 2009, Tesla had raised $187 million and delivered 147 cars. Musk had contributed $70 million of his own money to the company.[24]"
13,"In June 2009, Tesla was approved to receive $465 million in interest-bearing loans from the United States Department of Energy. The funding, part of the $8 billion Advanced Technology Vehicles Manufacturing Loan Program, supported the engineering and production of the Model S sedan, as well as the development of commercial powertrain technology.[25] Tesla repaid the loan in May 2013, with $12 million in interest.[26][27]"
14,"In May 2010, Tesla purchased what would later become the Tesla Factory in Fremont, California, from Toyota for $42 million,[28] and opened the facility in October 2010 to start production of the Model S.[29] On June 29, 2010, the company went public via an initial public offering (IPO) on the NASDAQ, the first American car company to do so since the Ford Motor Company had its IPO in 1956.[30] The company issued 13.3 million shares of common stock at a price of $17 per share, raising $226 million.[31]"
15,"In January 2012, Tesla ceased production of the Roadster, and in June the company launched its second car, the Model S luxury sedan.[32] The Model S won several automotive awards during 2012 and 2013, including the 2013 Motor Trend Car of the Year,[33] and became the first electric car to top the monthly sales ranking of a country, when it achieved first place in the Norwegian new car sales list in September 2013.[34] The Model S was also the bestselling plug-in electric car worldwide for the years 2015 and 2016.[35]"
16,"Tesla announced the Tesla Autopilot, a driver-assistance system, in 2014. In September that year, all Tesla cars started shipping with sensors and software to support the feature, with what would later be called ""hardware version 1"".[36]"
17,"Tesla entered the energy storage market, unveiling its Tesla Powerwall (home) and Tesla Powerpack (business) battery packs in April 2015.[37] The company received orders valued at $800 million within a week of the unveiling.[38]"
18,"Tesla began shipping its third vehicle, the luxury SUV Tesla Model X, in September 2015, which had 25,000 pre-orders at the time.[39][40]"
