index,paragraph
2,"Canoo is an American automotive company based in Torrance, California, that develops and manufactures electric vehicles.[2][3] Canoo's research & development team is based in Michigan, in the Detroit region (Auburn Hills, Livonia), and production operations are in Justin, Texas. The company also plans to produce commercial electric vehicles such as vans for fleet, vehicle rental and ride sharing services.[4]"
3,"Canoo was founded in 2017 under the name Evelozcity by Stefan Krause and Ulrich Kranz. Krause worked for Deutsche Bank as its chief financial officer while Kranz worked for BMW as a senior executive. Both men met at rival EV company Faraday Future before leaving together to form their own company in 2017, due to disagreement with Faraday Future's leadership. Krause took on the role of chief executive officer at Evelozcity, and Kranz became chief technology officer.[5] The company received its primary funding from Chinese investor Li ""David"" Pak-Tam/Botan and German entrepreneur David Stern.[6][7]"
4,"In April 2018, Evelozcity Canoo hired Karl-Thomas Neumann, the former head of Opel as a senior executive.[8] In March 2019 Evelozcity was renamed Canoo.[9] In July 2019, Neumann left Canoo, but he remained an investor in the company.[10]"
6,"In September 2019, the company presented its first vehicle prototype, the electric van Canoo, which was later renamed to the Canoo Lifestyle Vehicle.[11]"
7,"In February 2020, Hyundai Motor Group, the parent company of Hyundai Motors and Kia Motors, announced that the company would partner with Canoo on the joint development of a new electric vehicle platform. The platform would be used for compact vehicles and for fleet vehicles such as shuttles. The deal is part of Hyundai's Strategy 2025 program which will see Hyundai investing US$87 billion for five years starting in 2020.[12][13][14]"
8,"In July 2020, co-founder Stefan Krause left the company. He had previously taken an extended leave of absence in August 2019 for family reasons. Co-founder Ulrich Kranz assumed the role of permanent CEO upon Krause's departure.[15][16]"
9,"In July 2020, Canoo featured on the TV program Jay Leno's Garage.[17]"
10,"In September 2020, Canoo announced a merger with the special-purpose acquisition company Hennessy Capital Acquisition Corp. IV., intending to list Canoo on the NASDAQ valued at $2.4 billion.[18] The expectation was to raise $300 million to help finance the production of the Canoo minivan, planned for launch in 2022.[19][20] On December 22, 2020, Canoo completed its merger with Hennessy Capital Acquisition Corp IV.[21]"
11,"A few days before its stock exchange debut, the company announced its MPDV (Multi-Purpose Delivery Vehicle) product line. The entry level van was expected to sell for $33,000 on arrival in limited quantities in 2022, ramping up to volume production in 2023.[22]"
12,"In mid-January 2021, The Verge reported that in the first half of 2020 Canoo had been in talks with Apple for a potential role in its secretive Titan car project.[23][24]"
13,"In May 2022, it was reported that Canoo was struggling to find funding, the company saying that it had only enough funding to operate for one more quarter.[25] It was also revealed around the same time that Canoo was suing investor Pak Tim Li, claiming they were selling shares improperly.[26]"
14,"In December 2022, the company sued several former executives of stealing Canoo's trade secrets and poaching talent for their new business,[27][28] competing EV startup Harbinger Motors.[29]"
16,"On March 11, 2021, Canoo announced the Canoo Pickup Truck, an electric pickup set to release in 2023.[30][31] Canoo announced plans to offer both single-motor and dual-motor all-wheel drive options for their pickup truck, with the latter being capable of producing 600 hp (450 kW) and 550 foot-pounds (750 J) of torque.[30] The company said that the truck would have over 200 miles (320 km) of range and a 1,800 lb (820 kg) payload capacity.[30] After the announcement, shares of the company rose by 14%.[31]"
17,It was announced in March 2021 that Canoo had terminated its partnership with Hyundai Motor Group due to a change in corporate strategy. The company also announced that it would shift away from vehicle subscriptions to selling commercial vehicles.[32]
18,"On April 22, 2021, the company announced that co-founder and CEO Ulrich Kranz was stepping down and would be replaced by chairman Tony Aquila as CEO.[33] Also in April 2021, the U.S. Securities and Exchange Commission launched an investigation into Canoo after its merger with Hennessy Capital Acquisition Corp. IV due to a string of executive departures, sudden changes to its business model, and class-action lawsuits brought by shareholders.[34]"
19,"On June 17, 2021, the company announced they would build a new factory in Pryor, Oklahoma (just outside Tulsa) to manufacture all of their future vehicles.[35][36] The plant will be used to build ""pod-shaped vans it calls 'lifestyle vehicles' beginning in 2023.""[36] The same day, Dutch media reported that the Dutch company VDL Nedcar would start producing Canoo Minivans for the European market.[37] Later in the year, Canoo and VDL ended the manufacturing agreement.[38]"
20,"On November 15, 2021, the company announced it would move its headquarters to Bentonville, Arkansas and establish a manufacturing plant there.[39] As of December 2022[update] the company still lists Torrance, California as its headquarters.[1][40]"
21,"In January 2022, Canoo entered into a 10-year US$17.7 million lease for a building in Bentonville, Arkansas for an ""advanced industrialization facility"" to be used for low-volume manufacturing.[41] In August 2022, Canoo disclosed they had contracted with a third party for their initial vehicle production."
22,"Following receipt of orders in October 2022, Canoo announced plans for construction of a vehicle battery production facility at the MidAmerica Industrial Park (MAIP) in Pryor, Oklahoma.[42] This was in addition to its earlier announcement of plans for a vehicle production plant at MAIP capable of producing 300,000 vehicles per year.[43] In late November 2022, Canoo announced an agreement to purchase of an existing 630,000 square foot plant in Oklahoma City to start vehicle production by 2023, prior to completion of its micro megafactory in Pryor.[44]  In April 2023, the company announced that battery production would proceed at Pryor to fulfill a United States Department of Defense contract; and, while vehicle manufacturing was to start in Oklahoma City before the end of 2023, long range plans still included vehicle assembly at Pryor because the OKC facility would not meet full production needs.[45] The Oklahoma City plant transaction was completed on April 7, 2023; the plant was formerly owned and operated by Terex.[46]"
